Id,Label,timeset,eigencentrality,indegree,outdegree,Degree,clustering,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,modularity_class
MEX,,,0.280523,95,94,189,0.166181,0.002535,9,0.336388,0.376294,0.014759,242,243,485,8
MTY,,,0.072802,32,32,64,0.3125,0.000708,9,0.29102,0.316034,0.000228,73,72,145,8
TIJ,,,0.032194,31,32,63,0.160282,0.000775,9,0.289374,0.312394,0.000754,41,42,83,8
TLC,,,0.024227,10,10,20,0.355556,0.000235,9,0.268165,0.286749,0.000007,14,13,27,8
BEY,,,0.215112,44,45,89,0.434343,0.000774,9,0.313993,0.346533,0.000348,66,67,133,6
DXB,,,0.653221,182,188,370,0.135653,0.003644,8,0.390044,0.441297,0.05935,354,356,710,6
FCO,,,0.794781,159,157,316,0.239437,0.002454,8,0.373273,0.421681,0.012168,331,331,662,1
JNB,,,0.219822,83,81,164,0.119894,0.002634,9,0.339397,0.379787,0.023067,162,159,321,4
KMS,,,0.001777,1,1,2,0,0.000066,10,0.239504,0.251967,0,4,4,8,4
LIS,,,0.509517,101,103,204,0.285075,0.001767,8,0.341215,0.384613,0.014139,221,214,435,1
MAD,,,0.719466,156,158,314,0.2173,0.002632,8,0.369596,0.420511,0.022659,331,330,661,1
MLW,,,0.00253,2,2,4,1,0.000086,10,0.240322,0.253132,0,2,2,4,4
NYI,,,0.001777,1,1,2,0,0.000066,10,0.239504,0.251967,0,1,1,2,4
TKD,,,0.001777,1,1,2,0,0.000066,10,0.239504,0.251967,0,2,2,4,4
TML,,,0.001777,1,1,2,0,0.000066,10,0.239504,0.251967,0,3,3,6,4
WDH,,,0.024326,12,12,24,0.25,0.000469,9,0.290995,0.312529,0.00133,19,19,38,4
ACE,,,0.274006,57,54,111,0.317043,0.000759,9,0.298559,0.329557,0.000201,117,116,233,1
BFS,,,0.159865,27,29,56,0.545566,0.000381,9,0.302544,0.331375,0.000026,34,36,70,1
BGY,,,0.2717,80,80,160,0.225791,0.001169,9,0.289424,0.325185,0.001873,81,81,162,1
BIO,,,0.253808,35,35,70,0.642017,0.000512,9,0.307671,0.339222,0.000064,63,65,128,1
BLK,,,0.045343,9,9,18,0.319444,0.000158,9,0.260149,0.280619,0.000002,9,9,18,1
BLQ,,,0.357752,64,64,128,0.410466,0.000874,8,0.31312,0.348911,0.000285,88,88,176,1
BOH,,,0.076396,17,17,34,0.279412,0.000251,9,0.261519,0.284261,0.000004,19,19,38,1
BRE,,,0.232612,43,43,86,0.404208,0.000597,8,0.304125,0.335188,0.000141,50,50,100,1
BVA,,,0.192311,59,59,118,0.227352,0.000796,9,0.286599,0.317242,0.000253,60,60,120,1
CGN,,,0.410908,92,92,184,0.249883,0.001292,9,0.311015,0.352313,0.000604,131,134,265,1
CRL,,,0.243656,83,83,166,0.148105,0.001158,9,0.288337,0.323562,0.000536,84,84,168,1
DUS,,,0.661259,147,147,294,0.216522,0.002159,8,0.354392,0.401486,0.005511,285,285,570,1
EDI,,,0.425219,89,88,177,0.325204,0.00126,8,0.315991,0.355278,0.002988,118,119,237,1
EIN,,,0.252463,61,62,123,0.24808,0.000833,8,0.289772,0.322881,0.000314,67,68,135,1
FKB,,,0.083063,18,18,36,0.379085,0.000271,9,0.277167,0.304076,0.000023,20,20,40,1
FUE,,,0.267516,51,53,104,0.389562,0.00069,9,0.299751,0.330914,0.000188,95,97,192,1
GLA,,,0.28349,62,63,125,0.270865,0.001095,8,0.321435,0.355221,0.005735,96,100,196,1
HAJ,,,0.303185,50,50,100,0.42549,0.000688,8,0.307559,0.340316,0.000057,76,76,152,1
HAM,,,0.483975,87,87,174,0.390537,0.001207,8,0.326091,0.364891,0.00063,160,161,321,1
HHN,,,0.146202,47,47,94,0.209066,0.000661,9,0.268977,0.297813,0.00016,47,47,94,1
LEJ,,,0.179545,27,28,55,0.56746,0.000397,9,0.303988,0.335251,0.000026,39,40,79,1
LPA,,,0.383911,83,80,163,0.309727,0.001231,8,0.307307,0.343512,0.00213,154,154,308,1
LPL,,,0.201491,48,48,96,0.242021,0.000672,9,0.298374,0.328263,0.000454,58,58,116,1
LUX,,,0.314239,54,54,108,0.373052,0.000765,8,0.309362,0.342456,0.000331,70,70,140,1
MUC,,,0.865872,189,191,380,0.197535,0.002791,8,0.376309,0.42898,0.015418,360,368,728,1
NOC,,,0.076429,15,15,30,0.5,0.000224,9,0.269191,0.29354,0.000001,15,15,30,1
NRN,,,0.126849,38,38,76,0.238976,0.000526,9,0.254695,0.283364,0.000077,38,38,76,1
ORK,,,0.191681,30,30,60,0.626437,0.000419,9,0.301814,0.330444,0.000011,34,34,68,1
OVD,,,0.070404,10,10,20,0.733333,0.000169,9,0.291271,0.315013,0.000001,17,17,34,1
PAD,,,0.045552,8,8,16,0.446429,0.000141,9,0.276849,0.298198,0,11,11,22,1
PIK,,,0.090201,21,21,42,0.290476,0.000304,9,0.269535,0.292688,0.000015,21,21,42,1
SCQ,,,0.132779,21,22,43,0.727273,0.000309,9,0.295321,0.321616,0.000012,34,36,70,1
SDR,,,0.091678,17,17,34,0.794118,0.000251,9,0.280948,0.305219,0.000003,19,19,38,1
SNN,,,0.140165,26,26,52,0.409231,0.000378,9,0.300124,0.328086,0.000169,29,29,58,1
STR,,,0.405917,80,80,160,0.317284,0.001111,8,0.317357,0.35664,0.000526,136,137,273,1
SVQ,,,0.188474,38,38,76,0.51707,0.000532,9,0.296228,0.32551,0.000038,62,65,127,1
SXF,,,0.348794,68,69,137,0.356138,0.000944,8,0.3105,0.347493,0.000276,82,83,165,1
TFN,,,0.069169,17,17,34,0.433824,0.000339,9,0.282381,0.306669,0.000646,34,32,66,1
TXL,,,0.557787,110,109,219,0.292994,0.001595,8,0.339636,0.38304,0.002683,210,208,418,1
ZAZ,,,0.033809,8,8,16,0.678571,0.000143,9,0.24976,0.271494,0,8,8,16,1
ZRH,,,0.734624,136,137,273,0.282632,0.00203,8,0.370123,0.416123,0.007802,247,247,494,1
ACH,,,0.009502,2,2,4,0,0.000079,9,0.260551,0.277298,0,2,2,4,1
EBA,,,0.024723,5,5,10,0.2,0.000132,9,0.275179,0.29422,0.000009,5,5,10,1
VIE,,,0.653875,138,137,275,0.249713,0.002042,8,0.352211,0.398245,0.00461,308,308,616,1
ACI,,,0.002717,2,2,4,1,0.000075,10,0.225013,0.237181,0,2,2,4,1
GCI,,,0.080964,15,14,29,0.357143,0.000271,9,0.287331,0.311321,0.000432,18,18,36,1
SOU,,,0.096966,23,23,46,0.357708,0.000375,9,0.288558,0.314435,0.000327,33,33,66,1
ACK,,,0.00775,6,6,12,0.333333,0.000269,9,0.258734,0.273271,0.000742,6,6,12,8
BOS,,,0.407314,102,103,205,0.281458,0.002156,8,0.34872,0.386674,0.010465,212,212,424,8
EWB,,,0.00053,2,3,5,1,0.000115,10,0.221967,0.231959,0,2,3,5,8
HPN,,,0.059044,15,15,30,0.441667,0.000366,9,0.284547,0.306055,0.000381,23,23,46,8
HYA,,,0.007207,3,2,5,0.666667,0.000121,9,0.258655,0.272679,0,3,2,5,8
MVY,,,0.007366,4,4,8,0.583333,0.000153,9,0.258695,0.272975,0.000167,4,4,8,8
TEB,,,0.000273,1,1,2,0,0.000082,10,0.205564,0.212565,0,1,1,2,8
ACR,,,0.00035,2,2,4,0,0.000204,11,0.195916,0.203878,0,2,2,4,8
LCR,,,0.000364,2,2,4,0,0.000211,11,0.195938,0.203977,0.000001,2,2,4,8
SVI,,,0.003038,2,2,4,0,0.000164,10,0.243545,0.258737,0.000575,2,2,4,8
ACT,,,0.007138,1,1,2,0,0.000063,10,0.266283,0.283099,0,2,2,4,8
ACU,,,0.000149,1,1,2,0.5,0.000153,12,0.162481,0.167035,0.000288,1,1,2,2
PAC,,,0.001262,8,10,18,0.028571,0.000981,11,0.19398,0.202329,0.007183,8,10,18,2
ACV,,,0.008275,3,3,6,0.666667,0.000121,9,0.265071,0.280008,0,3,3,6,8
CEC,,,0.006356,2,2,4,1,0.000096,9,0.26505,0.27986,0,2,2,4,8
SMF,,,0.124743,29,28,57,0.650246,0.000599,9,0.303523,0.329517,0.000105,53,55,108,8
ACX,,,0.018186,5,5,10,0.8,0.000124,9,0.271136,0.290446,0.000002,6,6,12,12
CAN,,,0.335497,149,150,299,0.154944,0.002859,9,0.351186,0.398641,0.017412,336,338,674,12
CKG,,,0.175438,89,89,178,0.280133,0.001603,9,0.303578,0.339695,0.001871,270,270,540,12
